hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5740102,2023-24,2,"Unit, Flat or Apartment",Being Rented,0,2,July,Tuesday,Casey (C),25->29,25->29,30->34,"$1,250-$1,499 ($65,000-$77,999)",806.3371724,808.9794086,859.2155527,963.2556495,794.4745554,1004.367427,0.0,819.0426596,845.2074985,772.5439056,1371.00968,MELB - Outer,Greater Melbourne,Weekday
Y24H5740103,2023-24,1,Separate House,Fully Owned,0,1,July,Wednesday,Casey (C),70->74,70->74,70->74,"$500-$649 ($26,000-$33,799)",655.3046559,697.4454639,791.3707135,770.1514095,632.6616093,768.5310662,0.0,643.8853097,618.3858796,658.309756,966.5650298,MELB - Outer,Greater Melbourne,Weekday
Y24H5740104,2023-24,1,Separate House,Being Rented,1,0,July,Thursday,Casey (C),55->59,55->59,55->59,"$1-$149 ($1-$7,799)",754.3656665,789.3692441,892.3868683,876.6409711,879.2876655,876.7201431,0.0,767.5415314,669.9503066,782.6666704,1070.357088,MELB - Outer,Greater Melbourne,Weekday
Y24H5740109,2023-24,5,Separate House,Being Purchased,5,1,July,Tuesday,Casey (C),10->14,25->29,45->49,"$2,000-$2,499 ($104,000-$129,999)",876.2877141,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,MELB - Outer,Greater Melbourne,Weekday
Y24H5740110,2023-24,3,Separate House,Being Rented,1,1,July,Wednesday,Casey (C),25->29,45->49,60->64,"$1,750-$1,999 ($91,000-$103,999)",672.6834138,653.7350676,854.9008994,834.3956346,683.3100541,776.5464088,0.0,657.0576376,619.7356591,660.9241725,967.732619,MELB - Outer,Greater Melbourne,Weekday
Y24H5740111,2023-24,3,Separate House,Being Purchased,0,2,July,Thursday,Casey (C),25->29,40->44,65->69,"$4,000-$4,499 ($208,000-$233,999)",749.463904,730.5856604,943.1395233,917.9741336,749.7554985,848.2461277,0.0,759.9376353,666.2441713,733.4354024,1234.882158,MELB - Outer,Greater Melbourne,Weekday
Y24H5740116,2023-24,3,Separate House,Being Rented,0,1,July,Tuesday,Casey (C),10->14,20->24,40->44,"$500-$649 ($26,000-$33,799)",669.1512742,647.0223836,837.7585906,801.9132999,660.8752704,764.4219592,0.0,682.3143446,648.778965,650.2301284,981.7991911,MELB - Outer,Greater Melbourne,Weekday
Y24H5740117,2023-24,2,Separate House,Fully Owned,2,1,July,Wednesday,Casey (C),65->69,70->74,75->79,"$1,500-$1,749 ($78,000-$90,999)",693.9525028,685.5636495,777.9808792,856.5019332,729.525907,866.9186639,0.0,677.5242743,698.7547487,660.3194872,1028.552562,MELB - Outer,Greater Melbourne,Weekday
Y24H5740119,2023-24,2,Separate House,Fully Owned,0,2,July,Friday,Casey (C),60->64,65->69,65->69,"$3,500-$3,999 ($182,000-$207,999)",826.0206217,818.938591,917.9131674,997.8896857,851.1010746,1048.112093,0.0,827.1417867,812.385036,791.2786279,1369.766581,MELB - Outer,Greater Melbourne,Weekday
Y24H5740120,2023-24,1,Separate House,Fully Owned,Missing/Refused,1,July,Saturday,Casey (C),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",669.9867768,699.0786846,825.9926439,788.6655688,633.3135711,796.4967277,0.0,670.2641881,638.9631189,681.8875085,998.3275969,MELB - Outer,Greater Melbourne,Weekend
Y24H5740123,2023-24,1,Separate House,Fully Owned,0,1,July,Tuesday,Casey (C),65->69,65->69,65->69,"$1,750-$1,999 ($91,000-$103,999)",931.2339557,986.1199325,1107.860428,1057.385785,874.1282017,1080.759661,1207.867429,955.1938346,924.8084706,925.2257348,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740127,2023-24,2,Separate House,Being Rented,0,2,July,Saturday,Casey (C),30->34,30->34,35->39,"$2,500-$2,999 ($130,000-$155,999)",1183.935463,1170.409156,1307.365978,1466.239443,1174.70164,1510.606709,1366.721357,1172.910699,1191.76672,1161.962525,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740128,2023-24,5,Separate House,Being Purchased,1,4,July,Sunday,Casey (C),15->19,35->39,55->59,"$5,000-$5,999 ($260,000-$311,999)",1701.328403,1793.42429,2105.65847,2107.424626,1612.475805,2252.472619,1765.722641,1669.84328,1795.2727,1716.952264,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740129,2023-24,4,Separate House,Being Purchased,0,3,July,Monday,Casey (C),40->44,55->59,75->79,"$3,000-$3,499 ($156,000-$181,999)",943.6600754,872.0454184,1170.933282,1091.497798,987.0869209,1102.990383,1092.870863,949.4707747,1004.379149,995.710471,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740131,2023-24,4,Separate House,Being Purchased,10,2,July,Wednesday,Casey (C),15->19,30->34,50->54,"$4,000-$4,499 ($208,000-$233,999)",1090.796564,1040.728753,1278.020041,1342.640455,1182.243516,1257.590803,1326.079301,1070.503524,1126.419361,1127.261451,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740135,2023-24,4,Separate House,Fully Owned,4,2,July,Sunday,Casey (C),0->4,20->24,40->44,"$5,000-$5,999 ($260,000-$311,999)",1189.321781,1091.214194,1423.598049,1445.261217,1328.437584,1319.740506,1390.18344,1197.684885,1211.775681,1231.966388,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740139,2023-24,2,Separate House,Fully Owned,0,3,July,Thursday,Casey (C),65->69,65->69,65->69,"$1,750-$1,999 ($91,000-$103,999)",1083.35746,1081.196205,1270.904685,1269.724932,1058.383987,1318.891676,1217.505433,1092.582335,1075.630911,1062.35248,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740305,2023-24,1,"Unit, Flat or Apartment",Fully Owned,2,1,July,Friday,Stonnington (C),60->64,60->64,60->64,"$3,500-$3,999 ($182,000-$207,999)",1160.296249,1356.40332,1621.11266,1535.834192,1176.933287,1220.404949,1173.870373,1240.637984,1250.006691,0.0,1104.469147,MELB - Inner,Greater Melbourne,Weekday
Y24H5740309,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,1,July,Tuesday,Stonnington (C),75->79,80->84,80->84,"$6,000-$7,999 ($312,000-$415,999)",919.2661975,1026.676499,1128.439107,1220.707911,902.4178953,1029.233828,890.4003445,1075.675436,1026.801743,0.0,925.792913,MELB - Inner,Greater Melbourne,Weekday
Y24H5740317,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,2,July,Wednesday,Stonnington (C),85->89,85->89,85->89,"$3,500-$3,999 ($182,000-$207,999)",1361.976409,1616.348667,1916.120829,1799.040799,1343.533193,1509.406553,1385.683848,1669.964099,1223.880715,0.0,1386.591109,MELB - Inner,Greater Melbourne,Weekday
Y24H5740318,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,0,July,Thursday,Stonnington (C),85->89,85->89,85->89,"$300-$399 ($15,600-$20,799)",1065.345241,1158.464085,1500.684027,1473.319859,1061.260089,1378.068877,1138.518617,1208.885828,929.2993148,0.0,920.3145683,MELB - Inner,Greater Melbourne,Weekday
Y24H5740326,2023-24,1,Separate House,Fully Owned,2,1,July,Friday,Stonnington (C),65->69,65->69,65->69,"$1,250-$1,499 ($65,000-$77,999)",928.236999,1085.122656,0.0,1228.667354,941.5466296,976.3239596,939.0962983,992.5103869,1000.005353,1067.268846,883.5753178,MELB - Inner,Greater Melbourne,Weekday
Y24H5740328,2023-24,1,Terrace or Townhouse,Being Rented,Missing/Refused,1,July,Sunday,Stonnington (C),55->59,55->59,55->59,"$1,250-$1,499 ($65,000-$77,999)",993.1770793,1135.585638,0.0,1328.386878,1021.111601,997.3837549,980.6017145,1058.851497,1069.14252,1157.514175,1017.478128,MELB - Inner,Greater Melbourne,Weekend
Y24H5740331,2023-24,2,Separate House,Fully Owned,3,2,July,Wednesday,Stonnington (C),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",1089.581127,1293.078934,0.0,1439.232639,1074.826555,1207.525242,1108.547078,1335.971279,979.1045723,1220.896813,1109.272888,MELB - Inner,Greater Melbourne,Weekday
Y24H5740337,2023-24,2,Terrace or Townhouse,Being Rented,1,1,July,Tuesday,Stonnington (C),15->19,20->24,25->29,"$650-$799 ($33,800-$41,599)",735.412958,821.341199,0.0,976.5663291,721.9343163,823.3870621,712.3202756,860.5403489,821.4413941,819.5861676,740.6343304,MELB - Inner,Greater Melbourne,Weekday
Y24H5740340,2023-24,2,"Unit, Flat or Apartment",Being Rented,2,1,July,Friday,Stonnington (C),15->19,35->39,55->59,"$800-$999 ($41,600-$51,999)",753.3650805,831.452565,0.0,1011.678953,773.3904984,859.2492284,747.7656682,869.0498271,789.5418554,839.4616971,739.9627944,MELB - Inner,Greater Melbourne,Weekday
Y24H5740501,2023-24,4,Terrace or Townhouse,Being Purchased,2,1,July,Monday,Wyndham (C),5->9,20->24,40->44,"$2,000-$2,499 ($104,000-$129,999)",357.1606022,398.0040519,472.0204718,0.0,387.1957112,410.951159,455.7188629,404.4170516,365.9359709,341.8981035,393.0810429,MELB - Outer,Greater Melbourne,Weekday
Y24H5740504,2023-24,2,Separate House,Being Purchased,Missing/Refused,1,July,Thursday,Wyndham (C),70->74,70->74,70->74,,480.053421,565.1255577,572.4610503,0.0,525.1036243,511.0025063,606.8335595,505.3039698,470.2809726,478.2661249,561.1038061,MELB - Outer,Greater Melbourne,Weekday
